Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C1,2.2u,C_0805_2012Metric,110.5,-82,90,top
C2,100n,C_0805_2012Metric,111.05,-86.05,0,top
C3,100n,C_0805_2012Metric,119.5,-86.5,0,top
C4,100n,C_0805_2012Metric,132.5,-86.05,180,top
C5,100n,C_0805_2012Metric,139.95,-86.05,180,top
C6,100n,C_0805_2012Metric,138,-93.55,180,top
C7,100n,C_0805_2012Metric,126,-86.95,-90,top
C8,100n,C_0805_2012Metric,117,-90.1,-90,top
C9,100n,C_0805_2012Metric,120.95,-100.05,180,top
C10,100n,C_0805_2012Metric,128,-100,0,top
C11,100n,C_0805_2012Metric,135.45,-101.5,0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,138,-90.05,180,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,130.5,-90.05,0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,121.5,-90.05,0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,115.5,-82.05,180,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,121.5,-96.05,180,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,123.5,-82.05,180,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,129.565,-96.105,0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131,-82.05,180,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.5,-97.55,0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,138.5,-82.05,180,top
Q1,BSS138,SOT-23,115.5,-94.5,90,top
R1,100R,R_0603_1608Metric,111.5,-92.5,90,top
R2,10K,R_0603_1608Metric,115.175,-98,0,top
R3,10K,R_0603_1608Metric,114,-89.825,-90,top
